,source,target,weight
424,1662,190,2
425,1662,1397,1
426,1662,783,1
427,1662,475,1
428,1662,431,4
429,1662,419,2
430,1662,12,1
431,1662,1850,1
432,1662,1547,1
433,1662,1331,2
434,1662,445,1
435,1662,389,4
436,1662,11,1
437,1662,381,3
438,1662,1643,4
439,1662,585,1
440,1662,1742,14
441,1662,335,2
442,1662,1605,1
443,1671,1703,1
444,1222,1581,2
445,1670,1072,22
446,1407,419,5
447,1407,1785,2
448,1056,1546,1
449,252,252,11
450,252,1108,1
451,252,862,1
452,252,1057,13
453,252,783,2
454,252,1331,2
455,252,564,1
456,252,1742,2
457,100,822,1
458,224,1273,1
459,606,228,2
460,587,822,1
461,587,1433,5
462,587,1546,12
463,587,649,2
464,587,638,3
465,587,1744,4
466,587,419,15
467,587,1191,11
468,587,1181,2
469,587,660,4
470,587,1749,2
471,1733,1546,1
472,1204,1191,5
473,1746,1641,4
474,1746,379,4
475,1746,918,4
476,1746,1662,4
477,1746,1746,4
478,1746,389,4
479,1746,1551,5
480,1746,304,4
481,1746,1469,8
482,1746,752,4
483,1746,1546,7
484,1746,282,4
485,1746,1090,4
486,1746,1468,4
487,1746,239,2
488,1746,730,4
489,1746,190,4
490,1746,783,8
491,1746,1838,4
492,1746,431,4
493,1746,419,2
494,1746,1850,5
495,1746,389,4
496,1746,381,4
497,1746,1643,2
498,1746,1742,10
499,1746,22,4
500,1493,912,1
501,143,1624,7
502,143,1671,2
503,143,428,2
504,143,323,1
505,143,1468,1
506,143,731,3
507,143,190,1
508,143,87,1
509,143,405,2
510,143,1742,6
511,1873,1273,1
512,1873,1546,4
513,1621,419,1
514,1808,1064,17
515,1808,1808,1
516,1808,865,8
517,1808,1409,5
518,1808,1861,2
519,1808,203,3
520,788,1191,2
521,1130,912,1
522,1450,419,1
523,251,228,1
524,960,822,1
525,1129,1273,19
526,754,258,1
527,1466,1072,1
528,1097,419,1
529,230,1098,4
530,230,235,1
531,230,1546,5
532,230,72,1
533,230,1285,1
534,230,1890,1
535,230,432,2
536,230,1773,3
537,758,1546,1
538,1320,1742,1
539,389,1641,2
540,389,1662,4
541,389,632,1
542,389,1162,1
543,389,1469,1
544,389,752,2
545,389,1708,1
546,389,1090,1
547,389,730,1
548,389,783,2
549,389,431,1
550,389,1850,2
551,389,381,1
552,389,585,1
553,389,144,1
554,389,1742,3
555,389,1182,2
556,291,1576,6
557,149,1641,1
558,149,1581,3
559,1249,1273,1
560,1249,1546,6
561,1249,419,2
562,1059,1191,1
563,1155,228,1
564,1891,419,3
565,241,648,1
566,213,1072,22
567,1341,1072,5
568,1013,1879,1
569,1013,822,1
570,1013,548,1
571,1013,59,1
572,674,1641,3
573,674,379,3
574,674,975,3
575,674,304,3
576,674,1469,1
577,674,1546,4
578,674,419,3
579,674,1191,5
580,674,1850,3
581,674,1773,3
582,1098,1546,1
583,1098,72,1
584,1098,432,1
585,762,1057,1
586,485,1762,1
587,568,1546,1
588,1559,419,1
589,469,228,1
590,801,1546,4
591,1401,1581,7
592,1459,740,1
593,1459,1827,7
594,1459,1624,4
595,1459,918,1
596,1459,637,1
597,1459,1162,1
598,1459,1546,12
599,1459,1708,6
600,1459,323,1
601,1459,1468,9
602,1459,190,3
603,1459,475,3
604,1459,419,3
605,1459,799,5
606,1459,1703,4
607,1459,1742,7
608,1459,1224,1
609,1459,387,1
610,1459,996,1
611,1422,1144,1
612,1862,1,23
613,1853,1162,1
614,1853,1675,1
615,1853,4,1
616,820,1816,3
617,506,228,1
618,1633,884,1
619,1016,1546,1
620,1884,1546,1
621,1036,419,1
622,1778,174,1
623,1778,262,1
624,1778,1581,9
625,1381,1742,2
626,1381,1581,1
627,380,1827,29
628,380,854,2
629,380,1624,3
630,380,918,43
631,380,1662,1
632,380,1162,41
633,380,1677,2
634,380,752,4
635,380,590,1
636,380,1286,1
637,380,1468,5
638,380,1057,26
639,380,1409,3
640,380,1861,1
641,380,783,3
642,380,1838,9
643,380,475,6
644,380,431,1
645,380,1616,3
646,380,1766,17
647,380,1331,6
648,380,398,1
649,380,19,19
650,380,1703,2
651,380,572,1
652,380,1742,57
653,380,1182,5
654,380,203,1
655,164,638,2
656,1828,1072,2
657,707,1072,23
658,370,419,2
659,1081,1273,1
660,1463,1858,1
661,1463,86,1
662,1463,918,12
663,1463,380,1
664,1463,1463,7
665,1463,1343,1
666,1463,313,1
667,1463,23,5
668,1463,1727,3
669,1463,1724,1
670,1463,90,3
671,1463,611,2
672,1463,1162,6
673,1463,43,3
674,1463,544,10
675,1463,1108,31
676,1463,374,7
677,1463,1388,7
678,1463,1276,10
679,1463,683,1
680,1463,1057,163
681,1463,1105,6
682,1463,1409,6
683,1463,1713,1
684,1463,669,3
685,1463,1855,1
686,1463,1861,25
687,1463,1265,4
688,1463,783,13
689,1463,1838,1
690,1463,475,4
691,1463,1766,1
692,1463,1331,24
693,1463,564,1
